ID,Difficulty,Question,A,B,C,D,E,Type,Group
408, Easy,Which three features belong to Automation Studio? (Choose 3 answers),Send Email ,Wait Activity ,Transfer File Activity ,A/B Test Send Activity ,Triggered Send ,CHECKBOX,Marketing Cloud
409, Easy,An amateur marketer is tasked with creating an email for an emerging campaign. Which two methods can the marketer utilise to create the emails? (Choose 2),Email Templates ,Text Blocks ,HTML Paste ,Image Blocks , ,CHECKBOX,Marketing Cloud
410, Easy,A client leverages transactional messages to send ad-hoc order confirmations. Which type of message is most suitable in this situation?,Triggered Email  ,Guided Send ,Test Send ,User Initiated Email , ,CHOICE,Marketing Cloud
411, Easy,"A marketing manager would like to ensure that all emails configured by marketers follow the company's branding and logo guidelines, as well as having consistency in structure and text allocation. How would the marketing manager accomplish this task?",Email Templates  ,Content blocks ,HTML paste ,Locked email-design , ,CHOICE,Marketing Cloud
412, Easy,"What happens when a disgruntled subscriber selects the ""one–click unsubscribe"" link in the email you just sent from one of your publication lists?",The subscriber is automatically redirected to the subscription center to unsubscribe from publications ,The subscriber is automatically unsubscribed from All Subscribers at the enterprise level ,The subscriber is automatically unsubscribed from the business unit from which the send originated ,The subscriber is automatically unsubscribed from the list from which the send originated from  , ,CHOICE,Marketing Cloud
413, Easy,"Which send configurations/types require an ""approved"" status prior to the email being permitted to be sent? (Choose 3)",A/B Tests ,Test Sends ,Send Previews ,Triggered Sends ,Scheduled Sends ,CHECKBOX,Marketing Cloud
414, Easy,A marketer currently sends the same promotional offer every week to new subscribers added to the data extension. How would the marketer go about making this process more effective?,A Transactional Send Classification ,A Simple Send Email ,A recurring Send Schedule via Guided Send ,A User initiated Email  , ,CHOICE,Marketing Cloud
415, Easy,The marketing team would like to send an email to an audience on a weekly basis. The team receives multiple files each week that need to be imported and joined to build the target audience for the email. Which tool is recommended to execute this process?,Data Extract Activity ,Journey Builder ,Automation Studio  ,Filter Activity , ,CHOICE,Marketing Cloud
416, Easy,A marketer wants to run an Account Send Summary report. Which option can be configured when running this report? (Choose 3) ,Error handling parameters ,Error report log location ,Date range parameters ,Report results delivery location ,Report results file format ,CHECKBOX,Marketing Cloud
417, Easy,Which variable can be tested using the A/B testing tool? (Choose 3),From Name ,Email content ,ISP ,IP Address ,Pre-header ,CHECKBOX,Marketing Cloud
418, Easy,A marketer is using an import activity on a nightly basis to import subscriber data into a data extension. What is a true statement about the import activity? (Choose 3),The import activity is under Subscribers in the Email Application ,An import activity can be executed manually ,The file for an import activity can be on a desktop computer ,The file for an import activity must be placed in a folder on a FTP site ,An import activity can be used in an automation created in Automation Studio ,CHECKBOX,Marketing Cloud
419, Easy,"The marketing team would like to refresh a filtered data extension on a recurring basis, by using a data filter named ""Pref1-Tech"" How can this process be automated?","Set a refresh schedule on a new filtered data extension, and select the Pref1-Tech data filter ","Create a filtered Data Extension Activity that selects the Pref1-Tech Data Filter, and then add the Filtered Data Extension Activity to an Automation ","Create a Filter Activity that selects the Pref1-Tech Data Filter,  and then add the Filter Activity to an Automation  ",Add the Pref1-Tech Data Filter to an Automation , ,CHOICE,Marketing Cloud
